source	target	freq
٢	2	62
العلاء	al-ʻAlāʼ	62
التراث	al-Turāth	62
بنشره	bi-nashrihi	62
العاملي	al-ʻĀmilī	62
حاشية	Ḥāshiyat	62
الهادي	al-Hādī	61
حنيفة	Ḥanīfah	61
تحفة	Tuḥfat	61
البصري	al-Baṣrī	61
بشير	Bashīr	61
الرضي	al-Raḍī	61
منير	Munīr	61
المسمى	al-musammá	61
صححه	ṣaḥḥaḥahu	61
الدولة	al-dawlah	61
المحمدية	al-Muḥammadīyah	60
العامرة	al-ʻĀmirah	60
وما	wa-mā	60
شرف	Sharaf	60
الأميركية	al-Amīrikīyah	60
الاولى	al-ūlá	60
الواحد	al-Wāḥid	60
الرد	al-radd	60
الاول	al-awwal	60
مؤتمر	Muʼtamar	60
اصول	uṣūl	60
الجوزية	al-Jawzīyah	60
المغرب	al-Maghrib	60
ومطبعة	wa-Maṭbaʻat	59
مخطوطات	makhṭūṭāt	59
افندي	Afandī	59
علماء	ʻulamāʼ	59
سورية	Sūrīyah	58
معرفة	maʻrifat	58
صدر	Ṣadr	58
إدارة	Idārat	58
اليزدي	al-Yazdī	58
الاميرية	al-Amīrīyah	58
هارون	Hārūn	58
كرم	Karam	58
اكبر	Akbar	58
القانون	al-qānūn	57
الوثقى	al-wuthqá	57
عباد	ʻAbbād	57
علوم	ʻulūm	57
الرسالة	al-Risālah	57
الوطنية	al-Waṭanīyah	57
شعر	shiʻr	57
سوريا	Sūriyā	56
أهل	ahl	56
جمع	jamʻ	56
العلماء	al-ʻulamāʼ	56
نصر	Naṣr	56
جرجي	Jirjī	56
سلامة	Salāmah	56
الاهلية	al-Ahlīyah	56
الحنفي	al-Ḥanafī	56
المساعد	al-musāʻid	56
قيم	Qayyim	56
عزيز	ʻAzīz	55
حلب	Ḥalab	55
مسلم	Muslim	55
جمعه	jamaʻahu	55
شكري	Shukrī	55
النصر	al-Naṣr	55
جامع	Jāmiʻ	55
إقرأ	Iqraʼ	55
الشيرازي	al-Shīrāzī	55
عز	ʻIzz	55
سابقاً	sābiqan	55
سيوطي	Suyūṭī	55
هشام	Hishām	54
الإسكندرية	al-Iskandarīyah	54
للمؤلف	lil-muʼallif	54
الطباطبائي	al-Ṭabāṭabāʼī	54
خان	Khān	54
صيدا	Ṣaydā	54
فلسطين	Filasṭīn	54
المرحوم	al-marḥūm	54
ترجمه	tarjamahu	54
نفقة	nafaqat	54
الأنجلو	al-Anjlū	53
العلاقات	al-ʻAlāqāt	53
الثاني	al-thānī	53
تمام	Tammām	53
وأولاده	wa-Awlāduh	53
أصول	uṣūl	53
النعساني	al-Naʻsānī	53
التجارة	al-Tijārah	53
عوض	ʻAwaḍ	53
مصرية	Miṣrīyah	53
رستم	Rustum	53
أحد	aḥad	52
الغني	al-Ghanī	52
مقالات	maqālāt	52
page	page	52
الشام	al-Shām	52
شيخ	Shaykh	52
الأهلية	al-Ahlīyah	52
اليسوعيين	al-Yasūʻīyīn	52
المحقق	al-muḥaqqiq	52
عليها	ʻalayhā	52
مراد	Murād	52
;	;	51
عزت	ʻIzzat	51
العام	al-ʻāmm	51
عام	ʻām	51
الدولية	al-Dawlīyah	51
الأميركانية	al-Amīrikānīyah	51
عادل	ʻĀdil	51
للامام	lil-Imām	51
بيان	bayān	51
زيدون	Zaydūn	50
كرد	Kurd	50
قدري	Qadrī	50
الرحمانية	al-Raḥmānīyah	50
القديم	al-qadīm	50
زهير	Zuhayr	50
the	the	50
غزالي	Ghazzālī	50
زاهد	Zāhid	50
المعري	al-Maʻarrī	50
الملكية	al-Malakīyah	50
تونس	Tūnis	49
نظام	Niẓām	49
الخيرية	al-Khayrīyah	49
المكشوف	al-Makshūf	49
ثابت	Thābit	49
الذي	alladhī	49
ج	J	49
حيدر	Ḥaydar	49
العرفان	al-ʻIrfān	49
الفاضل	al-fāḍil	49
نهضة	Nahḍat	49
هلال	Hilāl	49
الفرنسي	al-Faransī	49
بعض	baʻḍ	49
محب	Muḥibb	49
الفتاح	al-Fattāḥ	48
معروف	Maʻrūf	48
الطائي	al-Ṭāʼī	48
لويس	Luwīs	48
حجازي	Ḥijāzī	48
إلياس	Ilyās	48
الباقي	al-Bāqī	48
طباطبائي	Ṭabāṭabāʼī	48
العاني	al-ʻĀnī	47
فيض	Fayḍ	47
بالجامعة	bi-al-Jāmiʻah	47
نقولا	Niqūlā	47
حضرة	ḥaḍrat	47
الاصول	al-uṣūl	47
الزهراء	al-Zahrāʼ	47
باريس	Bārīs	47
نشر	Nashr	47
فروخ	Farrūkh	47
de	de	47
الرافعي	al-Rāfiʻī	47
يطلب	Yuṭlabu	46
الجديدة	al-Jadīdah	46
مركز	Markaz	46
مقدمة	muqaddimah	46
الاندلس	al-Andalus	46
البستاني	al-Bustānī	46
بابويه	Bābawayh	45
وضعه	waḍaʻahu	45
الجاحظ	al-Jāḥiẓ	45
الصادق	al-Ṣādiq	45
الاجتماعية	al-ijtimāʻīyah	45
منذ	mundhu	45
الياس	Ilyās	45
المؤتمر	al-Muʼtamar	45
جرجس	Jirjis	45
العليا	al-ʻUlyā	45
جبرائيل	Jibrāʼīl	45
فصول	fuṣūl	45
بمطبعة	bi-Maṭbaʻat	45
المملكة	al-Mamlakah	45
الجديد	al-jadīd	45
حداد	Ḥaddād	45
سيدي	Sayyidī	45
مزيدة	mazīdah	44
خلف	Khalaf	44
فخر	Fakhr	44
مبارك	Mubārak	44
هو	huwa	44
عزام	ʻAzzām	44
للعلامة	lil-ʻallāmah	44
الرابعة	al-rābiʻah	44
4	4	44
حتى	ḥattá	44
الكاتب	al-Kātib	44
الأصول	al-uṣūl	44
دائرة	Dāʼirat	44
النبي	al-Nabī	43
المدني	al-Madanī	43
العروة	al-ʻUrwah	43
يوحنا	Yūḥannā	43
الجبار	al-Jabbār	43
نجم	Najm	43
المنيرية	al-Munīrīyah	43
الحنبلي	al-Ḥanbalī	43
السياسي	al-siyāsī	43
فاروق	Fārūq	43
ويليه	Wa-yalīhi	43
الطوسي	al-Ṭūsī	43
لبيب	Labīb	43
ادارة	Idārat	43
والتاريخ	wa-al-tārīkh	43
الأزهر	al-Azhar	42
سالم	Sālim	42
رجب	Rajab	42
القومي	al-Qawmī	42
لسنة	li-sanat	42
كشف	Kashf	42
الإرشاد	al-Irshād	42
السيوطي	al-Suyūṭī	42
معجم	Muʻjam	42
عبود	ʻAbbūd	42
المطهر	al-Muṭahhar	42
يونس	Yūnus	42
الانوار	al-anwār	41
المسيح	al-Masīḥ	41
لعبد	li-ʻAbd	41
نعمان	Nuʻmān	41
البحوث	al-Buḥūth	41
تقرير	Taqrīr	41
أسعد	Asʻad	41
السنة	al-Sunnah	41
تعالى	taʻālá	41
المرتضى	al-Murtaḍá	41
الجليل	al-jalīl	41
خليفة	Khalīfah	40
خلاصة	Khulāṣat	40
ألقاها	alqāhā	40
الطهراني	al-Ṭihrānī	40
حمدي	Ḥamdī	40
الفقيه	al-faqīh	40
وشرح	wa-sharḥ	40
جمعها	jamaʻahā	40
ا	A	40
كتب	kutub	40
اسلامية	Islāmīyah	40
والمقطم	wa-al-Muqaṭṭam	40
ذخائر	Dhakhāʼir	40
الوليد	al-Walīd	40
السامرائي	al-Sāmarrāʼī	40
طبقات	Ṭabaqāt	40
التوحيد	al-tawḥīd	40
ماري	Mārī	40
اليوم	al-yawm	39
فلسفة	Falsafat	39
محي	Muḥyī	39
لندن	Landan	39
مؤلفات	Muʼallafāt	39
طوسي	Ṭūsī	39
للنشر	lil-Nashr	39
الجامع	al-Jāmiʻ	39
البلاد	al-bilād	39
الاحكام	al-aḥkām	39
العطار	al-ʻAṭṭār	39
حياته	ḥayātuhu	39
فيها	fīhā	39
القديس	al-Qiddīs	39
المرأة	al-marʼah	39
راشد	Rāshid	39
رواية	riwāyah	39
البهية	al-bahīyah	38
المحامي	al-muḥāmī	38
حيان	Ḥayyān	38
زكريا	Zakarīyā	38
وعضو	wa-ʻuḍw	38
الهاشمية	al-Hāshimīyah	38
انيس	Anīs	38
وتحقيق	wa-taḥqīq	38
الصاوي	al-Ṣāwī	38
انتشارات	Intishārāt	38
بهاء	Bahāʼ	38
المدرسين	al-Mudarrisīn	38
الادبية	al-Adabīyah	38
سامرائي	Sāmarrāʼī	38
الحق	al-ḥaqq	38
استاذ	ustādh	37
سيف	Sayf	37
اخبار	akhbār	37
داوود	Dāwūd	37
التبريزي	al-Tabrīzī	37
الشعراء	al-shuʻarāʼ	37
هجرية	Hijrīyah	37
حواشيه	ḥawāshīhi	37
خوئي	Khūʼī	37
قتيبة	Qutaybah	37
ومحمد	wa-Muḥammad	37
الشعبية	al-shaʻbīyah	37
عدنان	ʻAdnān	37
الهاشمي	al-Hāshimī	37
مكي	Makkī	37
الازهر	al-Azhar	37
لصاحبها	li-ṣāḥibihā	37
الذهب	al-dhahab	36
والتعليق	wa-al-taʻlīq	36
القزويني	al-Qazwīnī	36
المعاني	al-maʻānī	36
هبة	Hibat	36
العباسي	al-ʻAbbāsī	36
تاليف	taʼlīf	36
رافعي	Rāfiʻī	36
والتعليم	wa-al-taʻlīm	36
شيرازي	Shīrāzī	36
بعد	baʻda	36
قصة	Qiṣṣat	36
ثانية	thānīyah	36
لابن	li-Ibn	36
فتحي	Fatḥī	36
سلطان	Sulṭān	36
خفاجي	Khafājī	36
المسلمين	al-Muslimīn	36
مهدى	Mahdī	36
والفلسفة	wa-al-falsafah	36
مكة	Makkah	35
فوزي	Fawzī	35
عيون	ʻUyūn	35
طنطاوي	Ṭanṭāwī	35
السباعي	al-Sibāʻī	35
صبحي	Ṣubḥī	35
الشعب	al-Shaʻb	35
مرعشي	Marʻashī	35
متن	matn	35
التونسية	al-Tūnisīyah	35
جماعة	Jamāʻat	35
المقدسي	al-Maqdisī	35
ومنقحة	wa-munaqqaḥah	35
جاحظ	Jāḥiẓ	35
الأب	al-Ab	35
القدسي	al-Qudsī	35
السياسة	al-siyāsah	35
الجزائري	al-Jazāʼirī	35
كوركيس	Kūrkīs	35
ووضع	wa-waḍaʻa	35
بدار	bi-Dār	35
بني	Banī	34
حياة	Ḥayāt	34
اسد	Asad	34
ع	ʻA	34
الملوك	al-mulūk	34
القيرواني	al-Qayrawānī	34
العقاد	al-ʻAqqād	34
المكتب	al-Maktab	34
الهدى	al-Hudá	34
المالية	al-Mālīyah	34
المنطق	al-manṭiq	34
الفقير	al-faqīr	34
الفنون	al-Funūn	34
داود	Dāwūd	34
وضع	waḍʻ	34
ضياء	Ḍiyāʼ	34
الرسول	al-Rasūl	34
مصباح	Miṣbāḥ	34
الإقتصاد	al-iqtiṣād	34
حسنين	Ḥasanayn	34
فقه	fiqh	34
مظهر	Maẓhar	34
جبران	Jubrān	34
الحائري	al-Ḥāʼirī	33
الفهامة	al-fahhāmah	33
اقرأ	Iqraʼ	33
وحققه	wa-ḥaqqaqahu	33
كاشف	Kāshif	33
س	S	33
ملتزم	Multazim	33
شعراء	shuʻarāʼ	33
الجوزي	al-Jawzī	33
أنيس	Anīs	33
الجاهلي	al-Jāhilī	33
العابدين	al-ʻĀbidīn	33
مساهمة	Musāhimah	33
اعداد	iʻdād	33
حلمي	Ḥilmī	33
رفعت	Rifʻat	33
الاستاذ	al-ustādh	33
مختارات	Mukhtārāt	33
الثالث	al-thālith	33
بهجة	Bahjat	33
الفلسفية	al-Falsafīyah	33
الغزالي	al-Ghazālī	33
العمل	al-ʻamal	32
الجمالية	al-Jamālīyah	32
الحكمة	al-ḥikmah	32
صبري	Ṣabrī	32
لا	lā	32
صدقي	Ṣidqī	32
القاها	alqāhā	32
المتحدة	al-Muttaḥidah	32
رزق	Rizq	32
عقاد	ʻAqqād	32
1953	1953	32
1955	1955	32
القوانين	al-qawānīn	32
الفن	al-Fann	32
الرابطة	al-Rābiṭah	32
طهران	Ṭihrān	32
بمدرسة	bi-Madrasat	32
الشرعية	al-sharʻīyah	32
والأدب	wa-al-adab	32
الدينية	al-dīnīyah	32
السلسلة	al-Silsilah	32
تاريخي	tārīkhī	32
امير	Amīr	32
المؤمنين	al-Muʼminīn	32
الحسينية	al-Ḥusaynīyah	32
دليل	Dalīl	32
محقق	Muḥaqqiq	32
حسني	Ḥusnī	32
الفقهية	al-fiqhīyah	32
التعليم	al-taʻlīm	31
الأندلس	al-Andalus	31
وصححه	wa-ṣaḥḥaḥahu	31
الرابع	al-rābiʻ	31
مارون	Mārūn	31
رضوان	Raḍwān	31
الآثار	al-Āthār	31
معاونية	Muʻāwanīyat	31
فيما	fīmā	31
الاعتماد	al-Iʻtimād	31
بوزارة	bi-Wizārat	31
للدراسات	lil-Dirāsāt	31
كريم	Karīm	31
ريحاني	Rīḥānī	31
حول	ḥawla	31
ناصيف	Nāṣīf	31
الصحيح	al-ṣaḥīḥ	31
نعمة	Niʻmat	31
فياض	Fayyāḍ	31
تهذيب	Tahdhīb	31
خطيب	Khaṭīb	31
راغب	Rāghib	31
لجماعة	li-Jamāʻat	31
اعلام	Aʻlām	31
الكلام	al-kalām	31
الحلقة	al-ḥalaqah	31
الخوئي	al-Khūʼī	30
كفاية	Kifāyat	30
وكيل	wakīl	30
ثلاثة	thalāthat	30
ولبنان	wa-Lubnān	30
5	5	30
بهجت	Bahjat	30
عنان	ʻInān	30
أفندي	Afandī	30
الأندلسي	al-Andalusī	30
فكري	Fikrī	30
وديع	Wadīʻ	30
ذكر	dhikr	30
قسطنطين	Qusṭanṭīn	30
والطباعة	wa-al-Ṭibāʻah	30
الجزء	al-juzʼ	30
الصدوق	al-Ṣadūq	30
نوري	Nūrī	30
المغربي	al-Maghribī	30
والآداب	wa-al-Ādāb	30
المذكور	al-madhkūr	30
للدكتور	lil-Duktūr	30
الرازي	al-Rāzī	30
العدد	al-ʻadad	30
وبهامشه	Wa-bi-hāmishihi	30
طلبة	ṭalabat	30
عامر	ʻĀmir	30
النجاح	al-Najāḥ	30
نسخة	nuskhah	30
السودان	al-Sūdān	30
العقد	al-ʻIqd	30
سركيس	Sarkīs	30
فيه	fīhi	30
دكتوراه	duktūrāh	30
الثانوية	al-thānawīyah	30
التقدم	al-Taqaddum	30
اسكندر	Iskandar	30
شكيب	Shakīb	30
نظم	naẓm	30
العصور	al-ʻuṣūr	29
مرسي	Mursī	29
هذه	Hādhihi	29
العالية	al-ʻĀlīyah	29
المسيحية	al-Masīḥīyah	29
الرجال	al-rijāl	29
وأستاذ	wa-ustādh	29
حجر	Ḥajar	29
العالمي	al-ʻĀlamī	29
به	bi-hi	29
ظاهر	Ẓāhir	29
السنية	al-sanīyah	29
ثورة	Thawrat	29
النقد	al-naqd	29
الصدر	al-Ṣadr	29
الفريد	al-farīd	29
عاملي	ʻĀmilī	29
كلام	kalām	29
الخامسة	al-khāmisah	29
الخاقاني	al-Khāqānī	29
ضيف	Ḍayf	29
الأحكام	al-aḥkām	29
الاصبهاني	al-Iṣbahānī	29
للطبع	lil-Ṭabʻ	29
اليسوعي	al-Yasūʻī	29
أ	A	29
الانصاري	al-Anṣārī	29
الزمان	al-Zamān	29
الصاحب	al-Ṣāḥib	29
المخطوطات	al-makhṭūṭāt	29
راجعه	rājaʻahu	28
المجلة	al-Majallah	28
القواعد	al-qawāʻid	28
تنبيه	Tanbīh	28
السعودية	al-Saʻūdīyah	28
طاووس	Ṭāwūs	28
الأمير	al-Amīr	28
التاريخية	al-tārīkhīyah	28
جمعة	Jumʻah	28
الحاج	al-Ḥājj	28
قدامة	Qudāmah	28
السبع	al-sabʻ	28
الملقب	al-mulaqqab	28
والتوزيع	wa-al-Tawzīʻ	28
انصاري	Anṣārī	28
بشارع	bi-shāriʻ	28
ومطبعتها	wa-Maṭbaʻatuhā	28
الشخصية	al-shakhṣīyah	28
طرابلس	Ṭarābulus	28
حمص	Ḥimṣ	28
دروس	Durūs	28
تحرير	Taḥrīr	28
تاج	Tāj	28
شهيد	Shahīd	28
ببغداد	bi-Baghdād	28
بلاد	bilād	28
وقف	waqafa	28
ادريس	Idrīs	28
صبيح	Ṣubayḥ	28
